Country Name;Country Code;Indicator Name;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Ecuador;ECU;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt, Arab Rep.;EGY;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;0,359589994;;;0;0;;
Euro area;EMU;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eritrea;ERI;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spain;ESP;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0,747837126;0,743179321;0,823329985;0,758567512;0,74425;0,88114351;1,027320027;0,921647251;0,816845238;
Estonia;EST;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;0,49477914;0,62871784;0,730542541;0,712436676;0,829990208;0,7630741;1,032490015;0,820520639;0,888542354;
Ethiopia;ETH;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
European Union;EUU;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fragile and conflict affected situations;FCS;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finland;FIN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;1,200719953;1,22634995;1,246389985;1,260349989;1,378639936;1,307240009;1,425229549;1,387989998;1,538870692;1,51819098;1,585724235;
Fiji;FJI;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;0,038421068;;;0,100919999;;;;;;
France;FRA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;0,957029998;0,994449973;1,018180013;1,057590008;1,036070347;1,067059994;1,127753854;1,162936687;1,164255977;
Faroe Islands;FRO;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micronesia, Fed. Sts.;FSM;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
Gabon;GAB;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United Kingdom;GBR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1,219630003;1,134230018;1,453547239;1,362172127;1,188089967;1,493359208;1,479366064;1,289700031;1,403759956;;
Georgia;GEO;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;0;0;0,452315956;0,352649987;0,242217615;0,414799988;0,621686101;0,463789999;0,472330004;0,525227547;0,577120006;0,498662144;;0,330229998;
Ghana;GHA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0,056043409;;;;0;;;0;;0;;0;;;;;;
Gibraltar;GIB;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,156130001;0,607076108;;;;
Gambia, The;GMB;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
Guinea-Bissau;GNB;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
Equatorial Guinea;GNQ;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greece;GRC;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;0,772360027;0,655110002;0,693059981;0,653672636;0,808030307;1,042722464;1,000859976;0,867766142;1,004678249;
Grenada;GRD;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,581353128;0,796450496;;;
Greenland;GRL;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;0,079539895;0,091771185;0,099540003;0,079215162;0,073200002;0,093900003;;;0,170410007;0,117020003;;;;
Guatemala;GTM;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;0;0,024730001;0,081079997;;;;;0,018030001;;;;
Guam;GUM;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guyana;GUY;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,117955282;0,096147038;;;;
High income;HIC;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hong Kong SAR, China;HKG;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honduras;HND;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
Heavily indebted poor countries (HIPC);HPC;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Croatia;HRV;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0,466842294;0,555331945;0,51385504;0,514176011;0,750432134;0,688480914;0,577518284;0,685958266;0,663888693;
Haiti;HTI;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;0,206570745;;;;;;;;;;;
Hungary;HUN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;0,541400015;0,796360016;0,825789988;0,844910026;0,838961363;0,929668963;0,783305526;0,848699987;0,704612792;0,653128028;
IBRD only;IBD;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IDA & IBRD total;IBT;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IDA total;IDA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IDA blend;IDB;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;IDN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0,04403;0,055500001;0,055637486;0,072690003;0,050980635;0,059530001;0,039548788;0,064357579;
IDA only;IDX;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Isle of Man;IMN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
India;IND;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Not classified;INX;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ireland;IRL;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0,95927;0;0;1,145068526;1,220739961;1,12968111;1,13135004;1,264882922;1,463291287;1,417947888;1,407015204;1,635842323;
Iran, Islamic Rep.;IRN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;1,999694109;1,807752609;1,552140236;0;0;0;0;0,260390013;0,384009987;0,368849993;0;0,432200015;0;0,617464185;0,586132169;0,547294796;0,567744195;0,585371375;
Iraq;IRQ;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;0,221934721;;;;;0,196935013;;;;;;;;;0,161183611;;
Iceland;ISL;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1,673805952;1,422689676;1,572042584;1,630100131;1,452964425;1,485280037;1,852949977;1,809633255;1,460831642;
Israel;ISR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;1,823094726;1,875620008;1,744560003;1,753819942;1,80357039;1,848747134;2,004012346;1,929427505;1,775677443;1,622074604;1,771238804;
Italy;ITA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0,292371124;0,29754135;0,320938796;0,366942346;0,398762941;0,407357097;0,428539991;0,432289928;0,444470286;
Jamaica;JAM;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jordan;JOR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;1,154566407;1,034190059;0,808324575;1,12966001;0,988955021;;
Japan;JPN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kazakhstan;KAZ;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenya;KEN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,118877687;;0,127044052;;
Kyrgyz Republic;KGZ;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;0,038350001;;;;;0;0;0;0;0;;;;;
Cambodia;KHM;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;0,11744649;;0,120470002;0,201289997;0,095843889;0,070103258;;0,088553816;0,140078455;0;;
Kiribati;KIR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;0,035098497;;;;0;0,097146325;;;
St. Kitts and Nevis;KNA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korea, Rep.;KOR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;0;0;0;0;0;0,47164467;0,71256882;0,923160017;0,806257486;0,878330171;0,983469725;1,046517253;1,169029951;1,142224908;1,123856306;1,197439194;1,142440796;1,034455776;1,032294989;1,102817059;
Kuwait;KWT;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Latin America & Caribbean (excluding high income);LAC;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lao PDR;LAO;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;0,759227514;;;;;;;0;;;;;0,083860897;
Lebanon;LBN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,971302271;;;;
Liberia;LBR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;0;;;;0;;0;3,265096664;;;;;;
Libya;LBY;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Lucia;LCA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;0,251720011;;;;;;;;;;;;;
Latin America & Caribbean;LCN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Least developed countries: UN classification;LDC;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Low income;LIC;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liechtenstein;LIE;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sri Lanka;LKA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;0;0;;0;0;0;0;0;0;0;0;;;
Lower middle income;LMC;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Low & middle income;LMY;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lesotho;LSO;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,095557533;;;;
Late-demographic dividend;LTE;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lithuania;LTU;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0,452219993;0,501380026;0,754350007;0,713699996;0,648559988;0,694562852;0,678499699;0,894020021;0,833251655;0,840231538;
