"country","PY","N_econ","N_CC","N_TopFive","N_TopTen","N_Top30","N_TrunkJournals","N_Top30_CC","N_TrunkJournals_CC","mean_TC","mean_nb_authors","mean_nb_authors_gendered","mean_share_male_authors","mean_share_female_authors","N_F","N_M","N_FF","N_MM","N_FM","Share_econ","Share_CC","Share_TopFive","Share_TopTen","Share_Top30","Share_TrunkJournals","Share_Top30_CC","Share_TrunkJournals_CC","ISO3","year","PIBValues","RDValues","EducFValues","EducHValues","CO2emissionsalues","NDC_Implied_average","NDC_Implied_conditional","NDC_Implied_unconditional","is_carbon_tax","ExpendituresValues","DisastersValues","TemperatureValues","Comparative_advantage","Total_trade","Trade_balance"
"Ireland",1970,20,0,1,1,2,1,0,0,7.85,1.3,0.1,0.49865,0.50135,19,19,18,18,18,1.20336943441637,0,0.917431192660551,0.826446280991736,0.904977375565611,0.191204588910134,0,0,"IRL","1970",4395995086,NA,NA,NA,NA,"34.74022673","34.74022673","34.74022673",NA,NA,NA,0.038,NA,NA,NA
"Isle of Man",1970,82,0,2,3,13,24,0,0,9.18292682926829,1.34146341463415,0.304878048780488,0.8899195,0.1100805,64,78,62,64,62,4.9338146811071,0,1.8348623853211,2.47933884297521,5.88235294117647,4.58891013384321,0,0,"IMN","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,NA,NA,NA
"Israel",1970,33,0,6,9,11,15,0,0,25.6363636363636,1.54545454545455,0.363636363636364,0.849990476190476,0.150009523809524,27,29,26,29,26,1.985559566787,0,5.5045871559633,7.43801652892562,4.97737556561086,2.86806883365201,0,0,"ISR","1970",7364277925,NA,NA,NA,NA,"58.00005375","58.00005375","58.00005375",NA,NA,NA,0.236,NA,NA,NA
"Italy",1970,20,0,3,3,3,6,0,0,15.7,1,0.15,0.997566666666667,0.00243333333333333,17,20,17,17,17,1.20336943441637,0,2.75229357798165,2.47933884297521,1.35746606334842,1.1472275334608,0,0,"ITA","1970",1.13395e+11,NA,NA,NA,NA,"264.4779001","264.4779001","264.4779001",NA,NA,NA,-0.157,NA,NA,NA
"Jamaica",1970,5,0,0,0,0,2,0,0,1.6,1.2,0.2,1,0,4,5,4,4,4,0.300842358604091,0,0,0,0,0.382409177820268,0,0,"JAM","1970",1404720442,NA,NA,NA,NA,"5.340082002","5.226774307","5.453389697",NA,NA,NA,-0.261,NA,NA,NA
"Japan",1970,40,0,6,8,6,11,0,0,15.15,1.2,0.075,1,0,38,39,38,39,38,2.40673886883273,0,5.5045871559633,6.61157024793388,2.71493212669683,2.10325047801147,0,0,"JPN","1970",2.17224e+11,NA,NA,NA,NA,"723.7199447","723.7199447","723.7199447",NA,NA,NA,-0.373,NA,NA,NA
"Jersey",1970,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.0601684717208183,0,0,0,0,0,0,0,"JEY","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenya",1970,5,0,1,1,1,2,0,0,556.2,1.2,0.4,1,0,3,5,3,3,3,0.300842358604091,0,0.917431192660551,0.826446280991736,0.452488687782805,0.382409177820268,0,0,"KEN","1970",1603447359,NA,NA,NA,NA,"97.23998598","97.23998598","97.23998598",NA,NA,NA,0.2,NA,NA,NA
"Lebanon",1970,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0.0601684717208183,0,0,0,0,0,0,0,"LBN","1970",NA,NA,NA,NA,NA,"20.19546","18.70452","21.6864",NA,NA,NA,0.427,NA,NA,NA
"Malawi",1970,2,0,0,0,0,0,0,0,2.5,1,0,0,0,2,2,2,2,2,0.120336943441637,0,0,0,0,0,0,0,"MWI","1970",NA,NA,NA,NA,NA,"30.959","30.959","30.959",NA,NA,NA,0.18,NA,NA,NA
"Malaysia",1970,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.0601684717208183,0,0,0,0,0,0,0,"MYS","1970",3864145667,NA,NA,NA,NA,"412.919","412.919","412.919",NA,NA,NA,0.138,NA,NA,NA
"Mali",1970,2,0,0,0,0,0,0,0,9,1,1,1,0,0,2,0,0,0,0.120336943441637,0,0,0,0,0,0,0,"MLI","1970",359772315.1,NA,NA,NA,NA,"26.62992274","26.62992274","26.62992274",NA,NA,NA,0.412,NA,NA,NA
"Mexico",1970,9,0,1,1,2,3,0,0,5.33333333333333,1.33333333333333,0.333333333333333,0.99805,0.00195,7,8,7,8,7,0.541516245487365,0,0.917431192660551,0.826446280991736,0.904977375565611,0.573613766730402,0,0,"MEX","1970",3.552e+10,NA,NA,NA,NA,"541.4499061","499.7999133","583.0998988",NA,NA,NA,-0.298,NA,NA,NA
"Netherlands",1970,19,0,0,0,0,5,0,0,2.26315789473684,1.26315789473684,0.263157894736842,0.79736,0.20264,15,18,14,14,14,1.14320096269555,0,0,0,0,0.956022944550669,0,0,"NLD","1970",38164716625,NA,NA,NA,NA,"91.97349561","91.97349561","91.97349561",NA,NA,NA,-0.59,NA,NA,NA
"New Zealand",1970,19,0,1,1,1,4,0,0,2.68421052631579,1.15789473684211,0.315789473684211,0.993716666666667,0.00628333333333333,13,19,13,13,13,1.14320096269555,0,0.917431192660551,0.826446280991736,0.452488687782805,0.764818355640535,0,0,"NZL","1970",6495605619,NA,NA,NA,NA,"30.00219631","30.00219631","30.00219631",NA,NA,NA,0.586,NA,NA,NA
"Niger",1970,4,0,0,0,0,0,0,0,6.5,1.25,0.25,1,0,3,4,3,3,3,0.240673886883273,0,0,0,0,0,0,0,"NER","1970",649916621.2,NA,NA,NA,NA,"26.268","26.268","26.268",NA,NA,NA,0.079,NA,NA,NA
"Nigeria",1970,4,0,0,0,0,0,0,0,6.5,1.25,0.25,1,0,3,4,3,3,3,0.240673886883273,0,0,0,0,0,0,0,"NGA","1970",12546094982,NA,NA,NA,NA,"325.5265392","259.4422042","391.6108743",NA,NA,NA,0.225,NA,NA,NA
"Norfolk Island",1970,3,0,0,0,0,0,0,0,25.3333333333333,1,0,0,0,3,3,3,3,3,0.180505415162455,0,0,0,0,0,0,0,"NFK","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA
"Norway",1970,11,0,1,1,1,6,0,0,46.4545454545455,1,0.272727272727273,0.666433333333333,0.333566666666667,9,10,8,8,8,0.661853188929001,0,0.917431192660551,0.826446280991736,0.452488687782805,1.1472275334608,0,0,"NOR","1970",12814123115,NA,NA,NA,NA,"18.30199259","18.30199259","18.30199259",NA,NA,NA,-0.697,NA,NA,NA
"Pakistan",1970,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0.0601684717208183,0,0,0,0,0.191204588910134,0,0,"PAK","1970",10027509450,NA,NA,NA,NA,"673.239","673.239","673.239",NA,NA,NA,0.569,NA,NA,NA
"Peru",1970,2,0,0,0,0,1,0,0,11,1,0,0,0,2,2,2,2,2,0.120336943441637,0,0,0,0,0.191204588910134,0,0,"PER","1970",NA,NA,NA,NA,NA,"179.216","179.0000332","179.216",NA,NA,NA,-0.071,NA,NA,NA
"Philippines",1970,4,0,0,0,0,0,0,0,0.75,1,0,0,0,4,4,4,4,4,0.240673886883273,0,0,0,0,0,0,0,"PHL","1970",7559115517,NA,NA,NA,NA,"192.5242043","78.71625","306.3321585",NA,NA,NA,0.209,NA,NA,NA
"Poland",1970,3,0,0,0,0,0,0,0,1.33333333333333,1,0,0,0,3,3,3,3,3,0.180505415162455,0,0,0,0,0,0,0,"POL","1970",NA,NA,NA,NA,NA,"222.5096629","222.5096629","222.5096629",NA,NA,NA,-1.281,NA,NA,NA
"Portugal",1970,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.0601684717208183,0,0,0,0,0,0,0,"PRT","1970",8108235704,NA,NA,NA,NA,"46.17198343","46.17198343","46.17198343",NA,NA,NA,0.073,NA,NA,NA
"Puerto Rico",1970,3,0,0,0,1,0,0,0,0,1.33333333333333,1,0.74865,0.25135,1,2,1,1,2,0.180505415162455,0,0,0,0.452488687782805,0,0,0,"PRI","1970",5034700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135,NA,NA,NA
"Republic of Korea",1970,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.0601684717208183,0,0,0,0,0,0,0,"KOR","1970",9005144969,NA,NA,NA,NA,"422.6767922","422.6767922","422.6767922",NA,NA,NA,-0.496,NA,NA,NA
"Romania",1970,8,0,0,0,0,0,0,0,0,1,0.125,1,0,7,8,7,7,7,0.481347773766546,0,0,0,0,0,0,0,"ROU","1970",NA,NA,NA,NA,NA,"64.748","64.748","64.748",NA,NA,NA,-0.057,NA,NA,NA
"Russian Federation",1970,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,0.120336943441637,0,0,0,0,0,0,0,"RUS","1970",NA,NA,NA,NA,NA,"1670.425","1670.425","1670.425",NA,NA,NA,NA,NA,NA,NA
"Singapore",1970,10,0,0,0,0,0,0,0,0.2,1.4,0.1,0.9921,0.0079,9,10,9,9,9,0.601684717208183,0,0,0,0,0,0,0,"SGP","1970",1920574150,NA,NA,NA,NA,"60.00037245","60.00037245","60.00037245",NA,NA,NA,NA,NA,NA,NA
"South Africa",1970,35,0,0,0,0,7,0,0,3.8,1.22857142857143,0.285714285714286,0.9972,0.0028,25,35,25,25,25,2.10589651022864,0,0,0,0,1.33843212237094,0,0,"ZAF","1970",21218391513,NA,NA,NA,NA,"385.0000919","385.0000919","385.0000919",NA,NA,NA,0.347,NA,NA,NA
"Sweden",1970,26,0,0,0,0,15,0,0,4.11538461538461,1.07692307692308,0.269230769230769,0.998414285714286,0.00158571428571429,19,26,19,19,19,1.56438026474128,0,0,0,0,2.86806883365201,0,0,"SWE","1970",38092452061,NA,NA,NA,NA,"1.123","1.123","1.123",NA,NA,NA,-1.096,NA,NA,NA
"Switzerland",1970,32,0,0,0,0,9,0,0,5.3125,1.09375,0.3125,0.89754,0.10246,23,31,22,22,22,1.92539109506619,0,0,0,0,1.7208413001912,0,0,"CHE","1970",24998066773,NA,NA,NA,NA,"26.55877249","26.55877249","26.55877249",NA,NA,NA,-0.484,NA,NA,NA
"Thailand",1970,1,0,1,1,1,1,0,0,29,2,1,1,0,0,1,0,0,0,0.0601684717208183,0,0.917431192660551,0.826446280991736,0.452488687782805,0.191204588910134,0,0,"THA","1970",7086538438,NA,NA,NA,NA,"371.4721634","342.8973816","400.0469451",NA,NA,NA,-0.005,NA,NA,NA
"Uganda",1970,3,0,0,0,0,0,0,0,2.66666666666667,1,0,0,0,3,3,3,3,3,0.180505415162455,0,0,0,0,0,0,0,"UGA","1970",1259554809,NA,NA,NA,NA,"81.895","81.895","81.895",NA,NA,NA,0.05,NA,NA,NA
"United Kingdom",1970,349,0,21,25,46,91,0,0,22.0773638968481,1.189111747851,0.246418338108883,0.893666463414634,0.106333536585366,275,338,267,269,268,20.9987966305656,0,19.2660550458716,20.6611570247934,20.8144796380091,17.3996175908222,0,0,"GBR","1970",1.30672e+11,NA,NA,NA,NA,"260.9742485","260.9742485","260.9742485",NA,NA,NA,-0.077,NA,NA,NA
"United Republic of Tanzania",1970,4,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,4,4,0.240673886883273,0,0,0,0,0,0,0,"TZA","1970",2851419386,NA,NA,NA,NA,"133.316","133.316","133.316",NA,NA,NA,0.213,NA,NA,NA
"United States of America",1970,394,0,40,41,71,161,0,0,14.6852791878173,1.27157360406091,0.779187817258883,0.908124762872629,0.0918752371273713,166,326,149,192,153,23.7063778580024,0,36.697247706422,33.8842975206612,32.1266968325792,30.7839388145315,0,0,"USA","1970",1.0733e+12,NA,NA,NA,NA,"3275.725478","3275.725478","3275.725478",NA,NA,NA,-0.02,NA,NA,NA
"Uruguay",1970,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0.0601684717208183,0,0,0,0,0,0,0,"URY","1970",2137096774,NA,NA,NA,NA,"31.23664322","30.17417236","32.29911408",NA,NA,NA,0.394,NA,NA,NA
"World",1970,1662,0,109,121,221,523,0,0,19.4139590854392,1.21179302045728,0.389891696750903,0.886452880116959,0.113547119883041,1150,1539,1093,1149,1099,100,0,100,100,100,100,0,0,"","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zambia",1970,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,0.120336943441637,0,0,0,0,0,0,0,"ZMB","1970",1825285714,NA,NA,NA,NA,"39.2134645","32.47365029","45.95327871",NA,NA,NA,0.352,NA,NA,NA
"Zimbabwe",1970,3,0,0,0,0,0,0,0,0.666666666666667,1.33333333333333,0.333333333333333,0,1,3,2,2,2,2,0.180505415162455,0,0,0,0,0,0,0,"ZWE","1970",1884206300,NA,NA,NA,NA,"84.37842","101.052","67.70484",NA,NA,NA,0.416,NA,NA,NA
"Bangladesh",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gambia",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myanmar",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepal",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sri Lanka",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sudan",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran (Islamic Republic of)",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sierra Leone",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinidad and Tobago",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkey",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aruba",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burundi",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gibraltar",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guam",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Salvador",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eswatini",1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
